,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,7.4000,0.7000,0.0000,1.9000,0.0760,11.0000,34.0000,0.9978,3.5100,0.5600,9.4000,5
1,7.8000,0.8800,0.0000,2.6000,0.0980,25.0000,67.0000,0.9968,3.2000,0.6800,9.8000,5
2,7.8000,0.7600,0.0400,2.3000,0.0920,15.0000,54.0000,0.9970,3.2600,0.6500,9.8000,5
3,11.2000,0.2800,0.5600,1.9000,0.0750,17.0000,60.0000,0.9980,3.1600,0.5800,9.8000,6
4,7.4000,0.7000,0.0000,1.9000,0.0760,11.0000,34.0000,0.9978,3.5100,0.5600,9.4000,5
5,7.4000,0.6600,0.0000,1.8000,0.0750,13.0000,40.0000,0.9978,3.5100,0.5600,9.4000,5
6,7.9000,0.6000,0.0600,1.6000,0.0690,15.0000,59.0000,0.9964,3.3000,0.4600,9.4000,5
7,7.3000,0.6500,0.0000,1.2000,0.0650,15.0000,21.0000,0.9946,3.3900,0.4700,10.0000,7
8,7.8000,0.5800,0.0200,2.0000,0.0730,9.0000,18.0000,0.9968,3.3600,0.5700,9.5000,7
9,7.5000,0.5000,0.3600,6.1000,0.0710,17.0000,102.0000,0.9978,3.3500,0.8000,10.5000,5
10,6.7000,0.5800,0.0800,1.8000,0.0970,15.0000,65.0000,0.9959,3.2800,0.5400,9.2000,5
11,7.5000,0.5000,0.3600,6.1000,0.0710,17.0000,102.0000,0.9978,3.3500,0.8000,10.5000,5
12,5.6000,0.6150,0.0000,1.6000,0.0890,16.0000,59.0000,0.9943,3.5800,0.5200,9.9000,5
13,7.8000,0.6100,0.2900,1.6000,0.1140,9.0000,29.0000,0.9974,3.2600,1.5600,9.1000,5
14,8.9000,0.6200,0.1800,3.8000,0.1760,52.0000,145.0000,0.9986,3.1600,0.8800,9.2000,5
15,8.9000,0.6200,0.1900,3.9000,0.1700,51.0000,148.0000,0.9986,3.1700,0.9300,9.2000,5
16,8.5000,0.2800,0.5600,1.8000,0.0920,35.0000,103.0000,0.9969,3.3000,0.7500,10.5000,7
17,8.1000,0.5600,0.2800,1.7000,0.3680,16.0000,56.0000,0.9968,3.1100,1.2800,9.3000,5
18,7.4000,0.5900,0.0800,4.4000,0.0860,6.0000,29.0000,0.9974,3.3800,0.5000,9.0000,4
19,7.9000,0.3200,0.5100,1.8000,0.3410,17.0000,56.0000,0.9969,3.0400,1.0800,9.2000,6
20,8.9000,0.2200,0.4800,1.8000,0.0770,29.0000,60.0000,0.9968,3.3900,0.5300,9.4000,6
21,7.6000,0.3900,0.3100,2.3000,0.0820,23.0000,71.0000,0.9982,3.5200,0.6500,9.7000,5
22,7.9000,0.4300,0.2100,1.6000,0.1060,10.0000,37.0000,0.9966,3.1700,0.9100,9.5000,5
23,8.5000,0.4900,0.1100,2.3000,0.0840,9.0000,67.0000,0.9968,3.1700,0.5300,9.4000,5
24,6.9000,0.4000,0.1400,2.4000,0.0850,21.0000,40.0000,0.9968,3.4300,0.6300,9.7000,6
25,6.3000,0.3900,0.1600,1.4000,0.0800,11.0000,23.0000,0.9955,3.3400,0.5600,9.3000,5
26,7.6000,0.4100,0.2400,1.8000,0.0800,4.0000,11.0000,0.9962,3.2800,0.5900,9.5000,5
27,7.9000,0.4300,0.2100,1.6000,0.1060,10.0000,37.0000,0.9966,3.1700,0.9100,9.5000,5
28,7.1000,0.7100,0.0000,1.9000,0.0800,14.0000,35.0000,0.9972,3.4700,0.5500,9.4000,5
29,7.8000,0.6450,0.0000,2.0000,0.0820,8.0000,16.0000,0.9964,3.3800,0.5900,9.8000,6
30,6.7000,0.6750,0.0700,2.4000,0.0890,17.0000,82.0000,0.9958,3.3500,0.5400,10.1000,5
31,6.9000,0.6850,0.0000,2.5000,0.1050,22.0000,37.0000,0.9966,3.4600,0.5700,10.6000,6
32,8.3000,0.6550,0.1200,2.3000,0.0830,15.0000,113.0000,0.9966,3.1700,0.6600,9.8000,5
33,6.9000,0.6050,0.1200,10.7000,0.0730,40.0000,83.0000,0.9993,3.4500,0.5200,9.4000,6
34,5.2000,0.3200,0.2500,1.8000,0.1030,13.0000,50.0000,0.9957,3.3800,0.5500,9.2000,5
35,7.8000,0.6450,0.0000,5.5000,0.0860,5.0000,18.0000,0.9986,3.4000,0.5500,9.6000,6
36,7.8000,0.6000,0.1400,2.4000,0.0860,3.0000,15.0000,0.9975,3.4200,0.6000,10.8000,6
37,8.1000,0.3800,0.2800,2.1000,0.0660,13.0000,30.0000,0.9968,3.2300,0.7300,9.7000,7
38,5.7000,1.1300,0.0900,1.5000,0.1720,7.0000,19.0000,0.9940,3.5000,0.4800,9.8000,4
39,7.3000,0.4500,0.3600,5.9000,0.0740,12.0000,87.0000,0.9978,3.3300,0.8300,10.5000,5
40,7.3000,0.4500,0.3600,5.9000,0.0740,12.0000,87.0000,0.9978,3.3300,0.8300,10.5000,5
41,8.8000,0.6100,0.3000,2.8000,0.0880,17.0000,46.0000,0.9976,3.2600,0.5100,9.3000,4
42,7.5000,0.4900,0.2000,2.6000,0.3320,8.0000,14.0000,0.9968,3.2100,0.9000,10.5000,6
43,8.1000,0.6600,0.2200,2.2000,0.0690,9.0000,23.0000,0.9968,3.3000,1.2000,10.3000,5
44,6.8000,0.6700,0.0200,1.8000,0.0500,5.0000,11.0000,0.9962,3.4800,0.5200,9.5000,5
45,4.6000,0.5200,0.1500,2.1000,0.0540,8.0000,65.0000,0.9934,3.9000,0.5600,13.1000,4
46,7.7000,0.9350,0.4300,2.2000,0.1140,22.0000,114.0000,0.9970,3.2500,0.7300,9.2000,5
47,8.7000,0.2900,0.5200,1.6000,0.1130,12.0000,37.0000,0.9969,3.2500,0.5800,9.5000,5
48,6.4000,0.4000,0.2300,1.6000,0.0660,5.0000,12.0000,0.9958,3.3400,0.5600,9.2000,5
49,5.6000,0.3100,0.3700,1.4000,0.0740,12.0000,96.0000,0.9954,3.3200,0.5800,9.2000,5
50,8.8000,0.6600,0.2600,1.7000,0.0740,4.0000,23.0000,0.9971,3.1500,0.7400,9.2000,5
51,6.6000,0.5200,0.0400,2.2000,0.0690,8.0000,15.0000,0.9956,3.4000,0.6300,9.4000,6
52,6.6000,0.5000,0.0400,2.1000,0.0680,6.0000,14.0000,0.9955,3.3900,0.6400,9.4000,6
53,8.6000,0.3800,0.3600,3.0000,0.0810,30.0000,119.0000,0.9970,3.2000,0.5600,9.4000,5
54,7.6000,0.5100,0.1500,2.8000,0.1100,33.0000,73.0000,0.9955,3.1700,0.6300,10.2000,6
55,7.7000,0.6200,0.0400,3.8000,0.0840,25.0000,45.0000,0.9978,3.3400,0.5300,9.5000,5
56,10.2000,0.4200,0.5700,3.4000,0.0700,4.0000,10.0000,0.9971,3.0400,0.6300,9.6000,5
57,7.5000,0.6300,0.1200,5.1000,0.1110,50.0000,110.0000,0.9983,3.2600,0.7700,9.4000,5
58,7.8000,0.5900,0.1800,2.3000,0.0760,17.0000,54.0000,0.9975,3.4300,0.5900,10.0000,5
59,7.3000,0.3900,0.3100,2.4000,0.0740,9.0000,46.0000,0.9962,3.4100,0.5400,9.4000,6
60,8.8000,0.4000,0.4000,2.2000,0.0790,19.0000,52.0000,0.9980,3.4400,0.6400,9.2000,5
61,7.7000,0.6900,0.4900,1.8000,0.1150,20.0000,112.0000,0.9968,3.2100,0.7100,9.3000,5
62,7.5000,0.5200,0.1600,1.9000,0.0850,12.0000,35.0000,0.9968,3.3800,0.6200,9.5000,7
63,7.0000,0.7350,0.0500,2.0000,0.0810,13.0000,54.0000,0.9966,3.3900,0.5700,9.8000,5
64,7.2000,0.7250,0.0500,4.6500,0.0860,4.0000,11.0000,0.9962,3.4100,0.3900,10.9000,5
65,7.2000,0.7250,0.0500,4.6500,0.0860,4.0000,11.0000,0.9962,3.4100,0.3900,10.9000,5
66,7.5000,0.5200,0.1100,1.5000,0.0790,11.0000,39.0000,0.9968,3.4200,0.5800,9.6000,5
67,6.6000,0.7050,0.0700,1.6000,0.0760,6.0000,15.0000,0.9962,3.4400,0.5800,10.7000,5
68,9.3000,0.3200,0.5700,2.0000,0.0740,27.0000,65.0000,0.9969,3.2800,0.7900,10.7000,5
69,8.0000,0.7050,0.0500,1.9000,0.0740,8.0000,19.0000,0.9962,3.3400,0.9500,10.5000,6
70,7.7000,0.6300,0.0800,1.9000,0.0760,15.0000,27.0000,0.9967,3.3200,0.5400,9.5000,6
71,7.7000,0.6700,0.2300,2.1000,0.0880,17.0000,96.0000,0.9962,3.3200,0.4800,9.5000,5
72,7.7000,0.6900,0.2200,1.9000,0.0840,18.0000,94.0000,0.9961,3.3100,0.4800,9.5000,5
73,8.3000,0.6750,0.2600,2.1000,0.0840,11.0000,43.0000,0.9976,3.3100,0.5300,9.2000,4
74,9.7000,0.3200,0.5400,2.5000,0.0940,28.0000,83.0000,0.9984,3.2800,0.8200,9.6000,5
75,8.8000,0.4100,0.6400,2.2000,0.0930,9.0000,42.0000,0.9986,3.5400,0.6600,10.5000,5
76,8.8000,0.4100,0.6400,2.2000,0.0930,9.0000,42.0000,0.9986,3.5400,0.6600,10.5000,5
77,6.8000,0.7850,0.0000,2.4000,0.1040,14.0000,30.0000,0.9966,3.5200,0.5500,10.7000,6
78,6.7000,0.7500,0.1200,2.0000,0.0860,12.0000,80.0000,0.9958,3.3800,0.5200,10.1000,5
79,8.3000,0.6250,0.2000,1.5000,0.0800,27.0000,119.0000,0.9972,3.1600,1.1200,9.1000,4
80,6.2000,0.4500,0.2000,1.6000,0.0690,3.0000,15.0000,0.9958,3.4100,0.5600,9.2000,5
81,7.8000,0.4300,0.7000,1.9000,0.4640,22.0000,67.0000,0.9974,3.1300,1.2800,9.4000,5
82,7.4000,0.5000,0.4700,2.0000,0.0860,21.0000,73.0000,0.9970,3.3600,0.5700,9.1000,5
83,7.3000,0.6700,0.2600,1.8000,0.4010,16.0000,51.0000,0.9969,3.1600,1.1400,9.4000,5
84,6.3000,0.3000,0.4800,1.8000,0.0690,18.0000,61.0000,0.9959,3.4400,0.7800,10.3000,6
85,6.9000,0.5500,0.1500,2.2000,0.0760,19.0000,40.0000,0.9961,3.4100,0.5900,10.1000,5
86,8.6000,0.4900,0.2800,1.9000,0.1100,20.0000,136.0000,0.9972,2.9300,1.9500,9.9000,6
87,7.7000,0.4900,0.2600,1.9000,0.0620,9.0000,31.0000,0.9966,3.3900,0.6400,9.6000,5
88,9.3000,0.3900,0.4400,2.1000,0.1070,34.0000,125.0000,0.9978,3.1400,1.2200,9.5000,5
89,7.0000,0.6200,0.0800,1.8000,0.0760,8.0000,24.0000,0.9978,3.4800,0.5300,9.0000,5
90,7.9000,0.5200,0.2600,1.9000,0.0790,42.0000,140.0000,0.9964,3.2300,0.5400,9.5000,5
91,8.6000,0.4900,0.2800,1.9000,0.1100,20.0000,136.0000,0.9972,2.9300,1.9500,9.9000,6
92,8.6000,0.4900,0.2900,2.0000,0.1100,19.0000,133.0000,0.9972,2.9300,1.9800,9.8000,5
93,7.7000,0.4900,0.2600,1.9000,0.0620,9.0000,31.0000,0.9966,3.3900,0.6400,9.6000,5
94,5.0000,1.0200,0.0400,1.4000,0.0450,41.0000,85.0000,0.9938,3.7500,0.4800,10.5000,4
95,4.7000,0.6000,0.1700,2.3000,0.0580,17.0000,106.0000,0.9932,3.8500,0.6000,12.9000,6
96,6.8000,0.7750,0.0000,3.0000,0.1020,8.0000,23.0000,0.9965,3.4500,0.5600,10.7000,5
97,7.0000,0.5000,0.2500,2.0000,0.0700,3.0000,22.0000,0.9963,3.2500,0.6300,9.2000,5
98,7.6000,0.9000,0.0600,2.5000,0.0790,5.0000,10.0000,0.9967,3.3900,0.5600,9.8000,5
99,8.1000,0.5450,0.1800,1.9000,0.0800,13.0000,35.0000,0.9972,3.3000,0.5900,9.0000,6
100,8.3000,0.6100,0.3000,2.1000,0.0840,11.0000,50.0000,0.9972,3.4000,0.6100,10.2000,6
101,7.8000,0.5000,0.3000,1.9000,0.0750,8.0000,22.0000,0.9959,3.3100,0.5600,10.4000,6
102,8.1000,0.5450,0.1800,1.9000,0.0800,13.0000,35.0000,0.9972,3.3000,0.5900,9.0000,6
103,8.1000,0.5750,0.2200,2.1000,0.0770,12.0000,65.0000,0.9967,3.2900,0.5100,9.2000,5
104,7.2000,0.4900,0.2400,2.2000,0.0700,5.0000,36.0000,0.9960,3.3300,0.4800,9.4000,5
105,8.1000,0.5750,0.2200,2.1000,0.0770,12.0000,65.0000,0.9967,3.2900,0.5100,9.2000,5
106,7.8000,0.4100,0.6800,1.7000,0.4670,18.0000,69.0000,0.9973,3.0800,1.3100,9.3000,5
107,6.2000,0.6300,0.3100,1.7000,0.0880,15.0000,64.0000,0.9969,3.4600,0.7900,9.3000,5
108,8.0000,0.3300,0.5300,2.5000,0.0910,18.0000,80.0000,0.9976,3.3700,0.8000,9.6000,6
109,8.1000,0.7850,0.5200,2.0000,0.1220,37.0000,153.0000,0.9969,3.2100,0.6900,9.3000,5
110,7.8000,0.5600,0.1900,1.8000,0.1040,12.0000,47.0000,0.9964,3.1900,0.9300,9.5000,5
111,8.4000,0.6200,0.0900,2.2000,0.0840,11.0000,108.0000,0.9964,3.1500,0.6600,9.8000,5
112,8.4000,0.6000,0.1000,2.2000,0.0850,14.0000,111.0000,0.9964,3.1500,0.6600,9.8000,5
113,10.1000,0.3100,0.4400,2.3000,0.0800,22.0000,46.0000,0.9988,3.3200,0.6700,9.7000,6
114,7.8000,0.5600,0.1900,1.8000,0.1040,12.0000,47.0000,0.9964,3.1900,0.9300,9.5000,5
115,9.4000,0.4000,0.3100,2.2000,0.0900,13.0000,62.0000,0.9966,3.0700,0.6300,10.5000,6
116,8.3000,0.5400,0.2800,1.9000,0.0770,11.0000,40.0000,0.9978,3.3900,0.6100,10.0000,6
117,7.8000,0.5600,0.1200,2.0000,0.0820,7.0000,28.0000,0.9970,3.3700,0.5000,9.4000,6
118,8.8000,0.5500,0.0400,2.2000,0.1190,14.0000,56.0000,0.9962,3.2100,0.6000,10.9000,6
119,7.0000,0.6900,0.0800,1.8000,0.0970,22.0000,89.0000,0.9959,3.3400,0.5400,9.2000,6
120,7.3000,1.0700,0.0900,1.7000,0.1780,10.0000,89.0000,0.9962,3.3000,0.5700,9.0000,5
121,8.8000,0.5500,0.0400,2.2000,0.1190,14.0000,56.0000,0.9962,3.2100,0.6000,10.9000,6
122,7.3000,0.6950,0.0000,2.5000,0.0750,3.0000,13.0000,0.9980,3.4900,0.5200,9.2000,5
123,8.0000,0.7100,0.0000,2.6000,0.0800,11.0000,34.0000,0.9976,3.4400,0.5300,9.5000,5
124,7.8000,0.5000,0.1700,1.6000,0.0820,21.0000,102.0000,0.9960,3.3900,0.4800,9.5000,5
125,9.0000,0.6200,0.0400,1.9000,0.1460,27.0000,90.0000,0.9984,3.1600,0.7000,9.4000,5
